state,pending,backlog_gt125d,pct_backlog,avg_days_pending,report_date
TX,66811,7000,0.1048,62.06,2026-07-04
FL,55833,6373,0.1141,64.25,2026-07-04
CA,44505,5146,0.1156,67.13,2026-07-04
GA,27592,3054,0.1107,63.12,2026-07-04
NC,25349,2545,0.1004,60.55,2026-07-04
VA,21518,2477,0.1151,64.85,2026-07-04
OH,17611,1894,0.1075,63.63,2026-07-04
PA,16636,1972,0.1185,66.64,2026-07-04
TN,15395,1563,0.1015,61.35,2026-07-04
AZ,15163,1694,0.1117,64.11,2026-07-04
SC,14994,1542,0.1028,63.31,2026-07-04
IL,14139,1712,0.1211,66.35,2026-07-04
NY,14084,1834,0.1302,68.51,2026-07-04
AL,13598,1561,0.1148,63.97,2026-07-04
MI,12755,1544,0.1211,66.71,2026-07-04
WA,12576,1555,0.1236,68.58,2026-07-04
MO,11486,1352,0.1177,63.53,2026-07-04
IN,11260,1271,0.1129,64.04,2026-07-04
MD,10893,1220,0.112,66.13,2026-07-04
LA,10657,1154,0.1083,62.48,2026-07-04
CO,10648,1196,0.1123,63.21,2026-07-04
OK,9425,1031,0.1094,63.52,2026-07-04
MS,8217,902,0.1098,63.64,2026-07-04
WI,8017,963,0.1201,65.01,2026-07-04
NJ,7661,1032,0.1347,68.63,2026-07-04
KY,7620,893,0.1172,64.72,2026-07-04
NV,7394,826,0.1117,65.05,2026-07-04
AR,7108,833,0.1172,65.28,2026-07-04
OR,6800,972,0.1429,70.78,2026-07-04
MN,6557,826,0.126,64.89,2026-07-04
MA,6099,769,0.1261,69.09,2026-07-04
IA,5299,668,0.1261,67.12,2026-07-04
KS,5213,645,0.1237,66.41,2026-07-04
NM,4216,558,0.1324,69.41,2026-07-04
PR,4180,381,0.0911,58.51,2026-07-04
WV,3952,378,0.0956,61.07,2026-07-04
NE,3941,468,0.1188,64.18,2026-07-04
ID,3774,465,0.1232,67.98,2026-07-04
UT,3734,431,0.1154,64.44,2026-07-04
HI,3591,444,0.1236,68.15,2026-07-04
CT,3420,431,0.126,69.43,2026-07-04
MT,2487,338,0.1359,70.73,2026-07-04
ME,2444,319,0.1305,70.87,2026-07-04
NH,2163,293,0.1355,67.83,2026-07-04
AK,1997,248,0.1242,75.95,2026-07-04
SD,1956,268,0.137,68.93,2026-07-04
DE,1770,214,0.1209,64.76,2026-07-04
WY,1410,214,0.1518,71.39,2026-07-04
ND,1400,185,0.1321,69.42,2026-07-04
RI,1276,172,0.1348,67.47,2026-07-04
DC,744,100,0.1344,67.03,2026-07-04
VT,700,116,0.1657,77.84,2026-07-04
