FIPS,county,2026-07-07
01001,"Autauga, AL",4
01003,"Baldwin, AL",5
01005,"Barbour, AL",0
01007,"Bibb, AL",1
01009,"Blount, AL",0
01011,"Bullock, AL",1
01013,"Butler, AL",1
01015,"Calhoun, AL",3
01017,"Chambers, AL",2
01019,"Cherokee, AL",2
01021,"Chilton, AL",1
01023,"Choctaw, AL",1
01025,"Clarke, AL",2
01027,"Clay, AL",0
01029,"Cleburne, AL",0
01031,"Coffee, AL",4
01033,"Colbert, AL",2
01035,"Conecuh, AL",0
01037,"Coosa, AL",0
01039,"Covington, AL",2
01041,"Crenshaw, AL",0
01043,"Cullman, AL",2
01045,"Dale, AL",3
01047,"Dallas, AL",4
01049,"De Kalb, AL",1
01051,"Elmore, AL",4
01053,"Escambia, AL",1
01055,"Etowah, AL",5
01057,"Fayette, AL",1
01059,"Franklin, AL",0
01061,"Geneva, AL",1
01063,"Greene, AL",0
01065,"Hale, AL",0
01067,"Henry, AL",0
01069,"Houston, AL",4
01071,"Jackson, AL",3
01073,"Jefferson, AL",39
01075,"Lamar, AL",0
01077,"Lauderdale, AL",2
01079,"Lawrence, AL",0
01081,"Lee, AL",4
01083,"Limestone, AL",3
01085,"Lowndes, AL",0
01087,"Macon, AL",0
01089,"Madison, AL",24
01091,"Marengo, AL",1
01093,"Marion, AL",1
01095,"Marshall, AL",4
01097,"Mobile, AL",17
01099,"Monroe, AL",0
01101,"Montgomery, AL",32
01103,"Morgan, AL",2
01105,"Perry, AL",0
01107,"Pickens, AL",0
01109,"Pike, AL",1
01111,"Randolph, AL",1
01113,"Russell, AL",2
01115,"Saint Clair, AL",3
01117,"Shelby, AL",7
01119,"Sumter, AL",0
01121,"Talladega, AL",1
01123,"Tallapoosa, AL",2
01125,"Tuscaloosa, AL",7
01127,"Walker, AL",4
01129,"Washington, AL",0
01131,"Wilcox, AL",0
01133,"Winston, AL",1
02013,"Aleutians East, AK",0
02016,"Aleutians West, AK",0
02020,"Anchorage, AK",8
02050,"Bethel, AK",1
02060,"Bristol Bay, AK",0
02063,"Chugach, AK",0
02066,"Copper River, AK",0
02068,"Denali, AK",0
02070,"Dillingham, AK",0
02090,"Fairbanks North Star, AK",4
02100,"Haines, AK",0
02105,"Hoonah-Angoon, AK",0
02110,"Juneau, AK",1
02122,"Kenai Peninsula, AK",1
02130,"Ketchikan Gateway, AK",0
02150,"Kodiak Island, AK",2
02158,"Kusilvak, AK",0
02164,"Lake and Peninsula, AK",0
02170,"Matanuska-Susitna, AK",4
02180,"Nome, AK",0
02185,"North Slope, AK",0
02188,"Northwest Arctic, AK",0
02195,"Petersburg, AK",0
02198,"Prince of Wales-Hyder, AK",1
02220,"Sitka, AK",0
02230,"Skagway, AK",0
02240,"Southeast Fairbanks, AK",0
02275,"Wrangell, AK",0
02282,"Yakutat, AK",0
02290,"Yukon-Koyukuk, AK",2
04001,"Apache, AZ",1
04003,"Cochise, AZ",0
04005,"Coconino, AZ",3
04007,"Gila, AZ",0
04009,"Graham, AZ",0
04011,"Greenlee, AZ",0
04012,"La Paz, AZ",0
04013,"Maricopa, AZ",154
04015,"Mohave, AZ",1
04017,"Navajo, AZ",2
04019,"Pima, AZ",23
04021,"Pinal, AZ",6
04023,"Santa Cruz, AZ",0
04025,"Yavapai, AZ",2
04027,"Yuma, AZ",1
05001,"Arkansas, AR",0
05003,"Ashley, AR",2
05005,"Baxter, AR",3
05007,"Benton, AR",10
05009,"Boone, AR",2
